Index: 10933553 | Node id: 1066620878 | Distance: 20120.983571 | Name:  
Index: 10933552 | Node id: 1066620875 | Distance: 20314.209715 | Name:  
Index: 10933551 | Node id: 1066620872 | Distance: 21069.831728 | Name:  
Index: 10933550 | Node id: 1066620868 | Distance: 21367.855511 | Name:  
Index: 493768 | Node id: 213850148 | Distance: 21474.636782 | Name:  
Index: 493767 | Node id: 213850146 | Distance: 21650.465641 | Name:  
Index: 493766 | Node id: 213850144 | Distance: 21892.612372 | Name:  
Index: 264850 | Node id: 46920795 | Distance: 22112.515909 | Name:  
Index: 9916575 | Node id: 970923304 | Distance: 22458.583525 | Name:  
Index: 9916585 | Node id: 970923345 | Distance: 22484.551836 | Name:  
Index: 480750 | Node id: 206963838 | Distance: 22679.069954 | Name:  
Index: 484184 | Node id: 209145840 | Distance: 22894.950454 | Name:  
Index: 264849 | Node id: 46920784 | Distance: 23081.913053 | Name:  
Index: 484183 | Node id: 209145274 | Distance: 23155.762224 | Name:  
Index: 480749 | Node id: 206963837 | Distance: 23269.407585 | Name:  
Index: 480748 | Node id: 206963836 | Distance: 23442.326775 | Name:  
Index: 264848 | Node id: 46920757 | Distance: 23571.996454 | Name:  
Index: 484247 | Node id: 209178380 | Distance: 23623.838769 | Name:  
Index: 480747 | Node id: 206963835 | Distance: 23677.310247 | Name:  
Index: 480746 | Node id: 206963834 | Distance: 23759.439242 | Name:  
Index: 480745 | Node id: 206963833 | Distance: 23898.951873 | Name:  
Index: 264847 | Node id: 46920749 | Distance: 24042.993371 | Name:  
Index: 545979 | Node id: 243493995 | Distance: 24184.580683 | Name: Platja de Castelldefels 
Index: 480744 | Node id: 206963832 | Distance: 24657.275891 | Name:  
Index: 264846 | Node id: 46920701 | Distance: 25206.828734 | Name:  
Index: 264845 | Node id: 46920696 | Distance: 25928.133233 | Name:  
Index: 480743 | Node id: 206963831 | Distance: 26040.385726 | Name:  
Index: 480742 | Node id: 206963830 | Distance: 26164.263681 | Name:  
Index: 480741 | Node id: 206963829 | Distance: 26442.908951 | Name:  
Index: 1242357 | Node id: 279742781 | Distance: 26479.596773 | Name:  
Index: 18783089 | Node id: 1125509482 | Distance: 26562.926281 | Name:  
Index: 18783117 | Node id: 1125509538 | Distance: 26634.274675 | Name:  
Index: 18783146 | Node id: 1125509645 | Distance: 26689.095561 | Name:  
Index: 264844 | Node id: 46920686 | Distance: 26779.077952 | Name:  
Index: 18783107 | Node id: 1125509516 | Distance: 26813.750530 | Name:  
Index: 18783123 | Node id: 1125509556 | Distance: 27077.409295 | Name:  
Index: 18783159 | Node id: 1125509693 | Distance: 27284.308785 | Name:  
Index: 18783104 | Node id: 1125509513 | Distance: 27353.277435 | Name:  
Index: 264843 | Node id: 46920679 | Distance: 27561.893450 | Name:  
Index: 18783083 | Node id: 1125509469 | Distance: 28238.430197 | Name:  
Index: 18783100 | Node id: 1125509504 | Distance: 28297.170940 | Name:  
Index: 18783114 | Node id: 1125509534 | Distance: 28404.409728 | Name:  
Index: 264842 | Node id: 46920675 | Distance: 28513.825964 | Name:  
Index: 4384681 | Node id: 528908100 | Distance: 28579.041102 | Name:  
Index: 4384680 | Node id: 528908099 | Distance: 28675.373137 | Name:  
Index: 4384695 | Node id: 528908114 | Distance: 28776.919344 | Name:  
Index: 4384696 | Node id: 528908115 | Distance: 28825.569163 | Name:  
Index: 4384701 | Node id: 528908120 | Distance: 28874.640664 | Name:  
Index: 18783109 | Node id: 1125509520 | Distance: 28945.074023 | Name:  
Index: 4384679 | Node id: 528908098 | Distance: 29017.047277 | Name: Garraf 
Index: 18783119 | Node id: 1125509551 | Distance: 29238.703971 | Name:  
Index: 3927316 | Node id: 493876704 | Distance: 29459.911682 | Name:  
Index: 264841 | Node id: 46920665 | Distance: 30465.494379 | Name:  
Index: 264840 | Node id: 46920658 | Distance: 31346.486011 | Name:  
Index: 264839 | Node id: 46920652 | Distance: 32214.371875 | Name:  
Index: 264838 | Node id: 46920645 | Distance: 32775.636162 | Name:  
Index: 264837 | Node id: 46920641 | Distance: 33898.386078 | Name:  
Index: 264835 | Node id: 46920617 | Distance: 34624.183625 | Name:  
Index: 264836 | Node id: 46920629 | Distance: 35227.683166 | Name:  
